scientific_name,color,planttype,maintenance
achillea,yellow,Perennials,low
achillea,red,Perennials,low
achillea,purple,Perennials,low
achillea,pink,Perennials,low
achillea,white,Perennials,low
achillea,cream,Perennials,low
achillea,orange,Perennials,low
aconitum,yellow,Perennials,medium
aconitum,purple,Perennials,medium
aconitum,blue,Perennials,medium
aconitum,pink,Perennials,medium
aconitum,white,Perennials,medium
agapanthus,purple,"Bulbs, Perennials",low
agapanthus,blue,"Bulbs, Perennials",low
agapanthus,white,"Bulbs, Perennials",low
ageratum,red,Annuals,low
ageratum,purple,Annuals,low
ageratum,blue,Annuals,low
ageratum,pink,Annuals,low
ageratum,white,Annuals,low
ajuga,purple,"Annuals, Perennials",low
ajuga,blue,"Annuals, Perennials",low
ajuga,white,"Annuals, Perennials",low
alcea,yellow,"Annuals, Perennials",hard
alcea,red,"Annuals, Perennials",hard
alcea,purple,"Annuals, Perennials",hard
alcea,black,"Annuals, Perennials",hard
alcea,pink,"Annuals, Perennials",hard
alcea,white,"Annuals, Perennials",hard
allium,yellow,"Bulbs, Perennials",low
allium,purple,"Bulbs, Perennials",low
allium,pink,"Bulbs, Perennials",low
allium,blue,"Bulbs, Perennials",low
allium,white,"Bulbs, Perennials",low
alstroemeria,yellow,"Bulbs, Perennials",low
alstroemeria,rose,"Bulbs, Perennials",low
alstroemeria,red,"Bulbs, Perennials",low
alstroemeria,purple,"Bulbs, Perennials",low
alstroemeria,pink,"Bulbs, Perennials",low
alstroemeria,white,"Bulbs, Perennials",low
alstroemeria,orange,"Bulbs, Perennials",low
amaryllis,pink,"Bulbs, Perennials",low
amaryllis,white,"Bulbs, Perennials",low
amsonia,blue,Perennials,low
amsonia,white,Perennials,low
amsonia,pink,Perennials,low
amsonia,purple,Perennials,low
anthurium,yellow,Perennials,low
anthurium,red,Perennials,low
anthurium,purple,Perennials,low
anthurium,pink,Perennials,low
anthurium,white,Perennials,low
anthurium,green,Perennials,low
antirrhinum,yellow,"Annuals, Perennials",low
antirrhinum,red,"Annuals, Perennials",low
antirrhinum,purple,"Annuals, Perennials",low
antirrhinum,pink,"Annuals, Perennials",low
antirrhinum,white,"Annuals, Perennials",low
antirrhinum,green,"Annuals, Perennials",low
antirrhinum,orange,"Annuals, Perennials",low
aquilegia,yellow,Perennials,low
aquilegia,red,Perennials,low
aquilegia,purple,Perennials,low
aquilegia,blue,Perennials,low
aquilegia,pink,Perennials,low
aquilegia,white,Perennials,low
asclepias,yellow,Perennials,low
asclepias,red,Perennials,low
asclepias,purple,Perennials,low
asclepias,pink,Perennials,low
asclepias,white,Perennials,low
asclepias,orange,Perennials,low
aster,yellow,Perennials,medium
aster,red,Perennials,medium
aster,purple,Perennials,medium
aster,blue,Perennials,medium
aster,white,Perennials,medium
astilbe,white,Perennials,low
astilbe,red,Perennials,low
astilbe,pink,Perennials,low
astrantia,purple,Perennials,medium
astrantia,white,Perennials,medium
astrantia,red,Perennials,medium
astrantia,pink,Perennials,medium
banksia,yellow,"Perennials, Shrubs, Trees",low
banksia,red,"Perennials, Shrubs, Trees",low
banksia,brown,"Perennials, Shrubs, Trees",low
banksia,violet,"Perennials, Shrubs, Trees",low
banksia,green,"Perennials, Shrubs, Trees",low
banksia,orange,"Perennials, Shrubs, Trees",low
baptisia,yellow,Perennials,low
baptisia,blue,Perennials,low
baptisia,white,Perennials,low
begonia,yellow,"Annuals, Bulbs, Perennials",low
begonia,red,"Annuals, Bulbs, Perennials",low
begonia,pink,"Annuals, Bulbs, Perennials",low
begonia,white,"Annuals, Bulbs, Perennials",low
begonia,orange,"Annuals, Bulbs, Perennials",low
bellis,yellow,Perennials,low
bellis,red,Perennials,low
bellis,purple,Perennials,low
bellis,pink,Perennials,low
bellis,white,Perennials,low
bergenia,purple,Perennials,low
bergenia,pink,Perennials,low
bergenia,red,Perennials,low
bergenia,white,Perennials,low
borago,blue,"Annuals, Perennials",low
borago,pink,"Annuals, Perennials",low
bougainvillea,yellow,"Climbers, Shrubs, Trees",low
bougainvillea,red,"Climbers, Shrubs, Trees",low
bougainvillea,purple,"Climbers, Shrubs, Trees",low
bougainvillea,pink,"Climbers, Shrubs, Trees",low
bougainvillea,white,"Climbers, Shrubs, Trees",low
bougainvillea,orange,"Climbers, Shrubs, Trees",low
bouvardia,yellow,"Herbs, Shrubs",low
bouvardia,red,"Herbs, Shrubs",low
bouvardia,pink,"Herbs, Shrubs",low
bouvardia,white,"Herbs, Shrubs",low
bouvardia,orange,"Herbs, Shrubs",low
brugmansia,yellow,"Shrubs, Trees",low
brugmansia,red,"Shrubs, Trees",low
brugmansia,pink,"Shrubs, Trees",low
brugmansia,white,"Shrubs, Trees",low
brugmansia,orange,"Shrubs, Trees",low
buddleia,red,"Shrubs, Trees",low
buddleia,purple,"Shrubs, Trees",low
buddleia,blue,"Shrubs, Trees",low
buddleia,pink,"Shrubs, Trees",low
buddleia,white,"Shrubs, Trees",low
calendula,yellow,"Annuals, Herbs, Perennials",low
calendula,orange,"Annuals, Herbs, Perennials",low
calluna,purple,Shrubs,low
calluna,pink,Shrubs,low
calluna,red,Shrubs,low
calluna,white,Shrubs,low
camellia,yellow,"Shrubs, Trees",low
camellia,red,"Shrubs, Trees",low
camellia,purple,"Shrubs, Trees",low
camellia,pink,"Shrubs, Trees",low
camellia,white,"Shrubs, Trees",low
campanula,purple,"Annuals, Perennials",low
campanula,blue,"Annuals, Perennials",low
campanula,pink,"Annuals, Perennials",low
campanula,white,"Annuals, Perennials",low
campanula,lilac,"Annuals, Perennials",low
canna,yellow,"Bulbs, Perennials",medium
canna,red,"Bulbs, Perennials",medium
canna,pink,"Bulbs, Perennials",medium
canna,white,"Bulbs, Perennials",medium
canna,cream,"Bulbs, Perennials",medium
canna,orange,"Bulbs, Perennials",medium
celosia,yellow,"Annuals, Perennials",low
celosia,red,"Annuals, Perennials",low
celosia,purple,"Annuals, Perennials",low
celosia,pink,"Annuals, Perennials",low
celosia,white,"Annuals, Perennials",low
celosia,gold,"Annuals, Perennials",low
celosia,orange,"Annuals, Perennials",low
centaurea,yellow,"Annuals, Perennials",low
centaurea,purple,"Annuals, Perennials",low
centaurea,blue,"Annuals, Perennials",low
centaurea,pink,"Annuals, Perennials",low
centaurea,white,"Annuals, Perennials",low
chrysanthemum,purple,Perennials,medium
chrysanthemum,yellow,Perennials,medium
chrysanthemum,white,Perennials,medium
chrysanthemum,red,Perennials,medium
cistus,purple,"Perennials, Shrubs",low
cistus,pink,"Perennials, Shrubs",low
cistus,white,"Perennials, Shrubs",low
clarkia,red,Annuals,low
clarkia,purple,Annuals,low
clarkia,pink,Annuals,low
clarkia,white,Annuals,low
clarkia,orange,Annuals,low
claytonia,purple,"Annuals, Bulbs, Perennials",low
claytonia,white,"Annuals, Bulbs, Perennials",low
claytonia,red,"Annuals, Bulbs, Perennials",low
claytonia,pink,"Annuals, Bulbs, Perennials",low
clerodendrum,yellow,"Climbers, Shrubs, Trees",medium
clerodendrum,red,"Climbers, Shrubs, Trees",medium
clerodendrum,purple,"Climbers, Shrubs, Trees",medium
clerodendrum,pink,"Climbers, Shrubs, Trees",medium
clerodendrum,white,"Climbers, Shrubs, Trees",medium
clerodendrum,cream,"Climbers, Shrubs, Trees",medium
clerodendrum,orange,"Climbers, Shrubs, Trees",medium
convallaria,white,"Bulbs, Perennials",low
convallaria,pink,"Bulbs, Perennials",low
coreopsis,yellow,"Annuals, Perennials",low
coreopsis,red,"Annuals, Perennials",low
coreopsis,pink,"Annuals, Perennials",low
coreopsis,maroon,"Annuals, Perennials",low
coreopsis,lavender,"Annuals, Perennials",low
coreopsis,orange,"Annuals, Perennials",low
cosmos,yellow,Annuals,low
cosmos,pink,Annuals,low
cosmos,white,Annuals,low
cosmos,orange,Annuals,low
cosmos,scarlet,Annuals,low
crocosmia,yellow,"Bulbs, Perennials",low
crocosmia,orange,"Bulbs, Perennials",low
crocosmia,red,"Bulbs, Perennials",low
crocus,yellow,Bulbs,low
crocus,purple,Bulbs,low
crocus,blue,Bulbs,low
crocus,white,Bulbs,low
crocus,cream,Bulbs,low
cyclamen,red,"Bulbs, Perennials",low
