common_name,scientific_name,color,planttype,maintenance,meaning
Yarrow,achillea,cream,Perennials,low,Everlasting love
Yarrow,achillea,orange,Perennials,low,Everlasting love
Yarrow,achillea,pink,Perennials,low,Everlasting love
Yarrow,achillea,purple,Perennials,low,Everlasting love
Yarrow,achillea,red,Perennials,low,Everlasting love
Yarrow,achillea,white,Perennials,low,Everlasting love
Yarrow,achillea,yellow,Perennials,low,Everlasting love
wolf's bane,aconitum,blue,Perennials,medium,
wolf's bane,aconitum,pink,Perennials,medium,
wolf's bane,aconitum,purple,Perennials,medium,
wolf's bane,aconitum,white,Perennials,medium,
wolf's bane,aconitum,yellow,Perennials,medium,
,agapanthus,blue,"Bulbs, Perennials",low,
,agapanthus,purple,"Bulbs, Perennials",low,
,agapanthus,white,"Bulbs, Perennials",low,
,ageratum,blue,Annuals,low,
,ageratum,pink,Annuals,low,
,ageratum,purple,Annuals,low,
,ageratum,red,Annuals,low,
,ageratum,white,Annuals,low,
bugle,ajuga,blue,"Annuals, Perennials",low,
bugle,ajuga,purple,"Annuals, Perennials",low,
bugle,ajuga,white,"Annuals, Perennials",low,
hollyhock,alcea,black,"Annuals, Perennials",hard,
hollyhock,alcea,pink,"Annuals, Perennials",hard,
hollyhock,alcea,purple,"Annuals, Perennials",hard,
hollyhock,alcea,red,"Annuals, Perennials",hard,
hollyhock,alcea,white,"Annuals, Perennials",hard,
hollyhock,alcea,yellow,"Annuals, Perennials",hard,
wild onion,allium,blue,"Bulbs, Perennials",low,
wild onion,allium,pink,"Bulbs, Perennials",low,
wild onion,allium,purple,"Bulbs, Perennials",low,
wild onion,allium,white,"Bulbs, Perennials",low,
wild onion,allium,yellow,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,orange,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,pink,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,purple,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,red,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,rose,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,white,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,yellow,"Bulbs, Perennials",low,
Belladonna,amaryllis,pink,"Bulbs, Perennials",low,
Belladonna,amaryllis,white,"Bulbs, Perennials",low,
eastern bluestar,amsonia,blue,Perennials,low,
eastern bluestar,amsonia,pink,Perennials,low,
eastern bluestar,amsonia,purple,Perennials,low,
eastern bluestar,amsonia,white,Perennials,low,
Tailflower,anthurium,green,Perennials,low,
Tailflower,anthurium,pink,Perennials,low,
Tailflower,anthurium,purple,Perennials,low,
Tailflower,anthurium,red,Perennials,low,
Tailflower,anthurium,white,Perennials,low,
Tailflower,anthurium,yellow,Perennials,low,
Snapdragon,antirrhinum,green,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,orange,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,pink,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,purple,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,red,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,white,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,yellow,"Annuals, Perennials",low,Deception; Graciousness
European columbine,aquilegia,blue,Perennials,low,Foolishness; Folly
European columbine,aquilegia,pink,Perennials,low,Foolishness; Folly
European columbine,aquilegia,purple,Perennials,low,Foolishness; Folly
European columbine,aquilegia,red,Perennials,low,Foolishness; Folly
European columbine,aquilegia,white,Perennials,low,Foolishness; Folly
European columbine,aquilegia,yellow,Perennials,low,Foolishness; Folly
butterflyweed,asclepias,orange,Perennials,low,
butterflyweed,asclepias,pink,Perennials,low,
butterflyweed,asclepias,purple,Perennials,low,
butterflyweed,asclepias,red,Perennials,low,
butterflyweed,asclepias,white,Perennials,low,
butterflyweed,asclepias,yellow,Perennials,low,
sea aster,aster,blue,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,purple,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,red,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,white,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,yellow,Perennials,medium,Symbol of love; Daintiness
,astilbe,pink,Perennials,low,
,astilbe,red,Perennials,low,
,astilbe,white,Perennials,low,
masterwort,astrantia,pink,Perennials,medium,
masterwort,astrantia,purple,Perennials,medium,
masterwort,astrantia,red,Perennials,medium,
masterwort,astrantia,white,Perennials,medium,
,banksia,brown,"Perennials, Shrubs, Trees",low,
,banksia,green,"Perennials, Shrubs, Trees",low,
,banksia,orange,"Perennials, Shrubs, Trees",low,
,banksia,red,"Perennials, Shrubs, Trees",low,
,banksia,violet,"Perennials, Shrubs, Trees",low,
,banksia,yellow,"Perennials, Shrubs, Trees",low,
,baptisia,blue,Perennials,low,
,baptisia,white,Perennials,low,
,baptisia,yellow,Perennials,low,
,begonia,orange,"Annuals, Bulbs, Perennials",low,
,begonia,pink,"Annuals, Bulbs, Perennials",low,
,begonia,red,"Annuals, Bulbs, Perennials",low,
,begonia,white,"Annuals, Bulbs, Perennials",low,
,begonia,yellow,"Annuals, Bulbs, Perennials",low,
,bellis,pink,Perennials,low,
,bellis,purple,Perennials,low,
,bellis,red,Perennials,low,
,bellis,white,Perennials,low,
,bellis,yellow,Perennials,low,
,bergenia,pink,Perennials,low,
,bergenia,purple,Perennials,low,
,bergenia,red,Perennials,low,
,bergenia,white,Perennials,low,
