name,scientific_name,color,meaning
Abatina,,,Fickleness
Acanthus,,,The fine art; Artifice
Aloe,,,Affection; also Grief
Amaryllis,,,Pride
Anemone,,,Forsaken
Angelica,,,Inspiration
Apple blossom,,,Preference
Arborvitae,Thuja,,Unchanging friendship
Aster,Aster,,Symbol of love; Daintiness
Baby’s breath,Gypsophila,,Everlasting Love
Bachelor’s button,,,Single blessedness
Basil,Ocimum,,Good wishes
Bay tree,,,Glory
Begonia,,,Beware
Belledonna,,,Silence
Bittersweet,,,Truth
Black-eyed Susan,Rudbeckia,,Justice
Bluebell,Campanula,,Humility
Borage,,,Bluntness; Directness
Butterfly weed,,,Let me go
Calla lily,Zantedeschia,,Beauty
Camellia,,pink,Longing for you
Camellia,,red,You’re a flame in my heart
Camellia,,white,You’re adorable
Candytuft,Iberis,,Indifference
Carnation,Dianthus,,Fascination; Female love; Mother’s love
Red carnation,,,Alas for my poor heart; My heart aches; Deep love
White carnation,,,Innocence; pure love; sweet love
Pink carnation,,,I’ll never forget you
Striped carnation,,,Refusal
Yellow carnation,,,Disdain; Disappointment; Rejection
Chamomile,,,Patience in adversity
Chives,,,Usefulness
Chrysanthemum,Chrysanthemum,red,I love you
Chrysanthemum,Chrysanthemum,yellow,Slighted love
Chrysanthemum,Chrysanthemum,white,Truth
Clematis,,,Mental beauty
Clematis,,evergreen,Poverty
Clover,Trifolium,white,Think of me
Columbine,Aquilegia,,Foolishness; Folly
Columbine,Aquilegia,purple,Resolution
Columbine,Aquilegia,red,Anxious; Trembling
Coreopsis,Coreopsis,,Always cheerful
Coriander,,,Hidden worth/merit
Crab blossom,,,Ill nature
Crocus,,spring,Cheerfulness; Youthful gladness
Cyclamen,,,Resignation; Diffidence; Goodbye
Daffodil,Narcissus,,Regard; Unequalled love
Dahlia,,single,Good taste
Daisy,Leucanthemum,,Innocence; Loyal love; I’ll never tell
Daylily,,,Chinese emblem for mother
Dill,Anethum,,Powerful against evil
Edelweiss,,,Courage; Devotion
Fennel,,,Flattery
Fern,,,Magic; Fascination; Secret bonds of love
Forget-me-not,Myosotis,,True love memories; Do not forget me
Gardenia,,,You’re lovely; Secret love
Geranium,Pelargonium,,Folly; Stupidity
Gladiolus,Gladiolus,,Flower of the Gladiators; Integrity; Strength; Victory
Goldenrod,Solidago,,Encouragement; Good fortune
Heliotrope,,,Eternal love; Devotion
Hibiscus,Hibiscus,,Delicate beauty
Holly,Ilex,,Defense; Domestic happiness
Hollyhock,,,Ambition
Honeysuckle,Lonicera,,Bonds of love
Hyacinth,Hyacinthus,,Sport; Game; Play
Blue Hyacinth,,,Constancy
Purple Hyacinth,,,Sorrow
Yellow Hyacinth,,,Jealousy
White Hyacinth,,,Loveliness; Prayers for someone
Hydrangea,Hydrangea,,Gratitude for being understood; Frigidity and heartlessness
Hyssop,,,Sacrifice; Cleanliness
Iris,,,Faith; trust; Wisdom; Hope; Valor
Ivy,Hedera,,Affection; Friendship; Fidelity
Jasmine,Jasminum,white,Sweet love; Amiability
Jasmine,Jasminum,yellow,Grace; Elegance
Lady’s Slipper,,,Capricious beauty
Larkspur,Delphinium,,Open heart; Levity; Lightness; Fickleness
Lavender,Lavandula,,Distrust
Lemon balm,,,Sympathy
Lilac,Syringa,,Joy of youth
Lily,Lilium,white,Virginity; Purity; Heavenly
Lily,Lilium,yellow,Happy; Gay; Walking on air
Lily,Lilium,orange,Hatred
Lily,Lilium,tiger,Wealth; Pride
Lily-of-the-valley,Convallaria,,Sweetness; Tears of the Virgin Mary; Humility
Lotus Flower,,,Purity; Enlightenment; Self-regeneration; Rebirth
Magnolia,Magnolia,,Nobility; Love of nature
Marigold,Tagetes,,Grief; Jealousy
Marjoram,,,Joy; Happiness
Mint,Mentha,,Virtue
Morning glory,,,Affection
Myrtle,Myrtus,,Good luck; Love in a marriage
Nasturtium,,,Patriotism; Conquest; Victory in Battle
Oak,Quercus,,Strength
Oregano,Origanum,,Substance
Pansy,,,Thoughts
Parsley,,,Festivity
Peony,Paeonia,,Bashful; Happy life; Shame
Pine,Pinus,,Humility; Piety
Poppy,Papaver,,Consolation
Rhododendron,Rhododendron,,Danger; beware
Rose,Rosa,red,Love; I love you
Rose,Rosa,dark crimson,Mourning
Rose,Rosa,pink,Happiness
Rose,Rosa,white,Innocence; Heavenly; I’m worthy of you
Rose,Rosa,yellow,Jealousy; Decrease of love; Infidelity
Rosemary,Rosmarinus,,Remembrance
Rue,,,Grace; Clear vision
Sage,Salvia,,Wisdom; Immortality
Salvia,Salvia,blue,I think of you
Salvia,Salvia,red,Forever mine
Savory,,,Spice; Interest
Snapdragon,Antirrhinum,,Deception; Graciousness
Sorrel,,,Affection
Southernwood,,,Constancy; Jest
Spearmint,,,Warmth of sentiment
Speedwell,Veronica,,Feminine fidelity
Sunflower,Helianthus,dwarf,Adoration
Sunflower,Helianthus,tall,Haughtiness
Sweet pea,Lathyrus,,Blissful pleasures; Goodbye; Thank you for a lovely time
Sweet William,,,Gallantry
Sweet woodruff,,,Humility
Tansy,Tanacetum,,Hostile thoughts; Declaring war
Tarragon,Artemisia,,Lasting interest
Thyme,Thymus,,Courage; strength
Tulip,Tulipa,red,Passion; Declaration of love
Tulip,Tulipa,yellow,Sunshine in your smile
Valerian,,,Readiness
Violet,,,Watchfulness; Modesty; Faithfulness
Willow,Salix,,Sadness
Yarrow,Achillea,,Everlasting love
Zinnia,Zinnia,,Thoughts of absent friends; Lasting affection
